email,is_immediate
trung3001@gmail.com,TRUE
trung3002@gmail.com,TRUE
trung3003@gmail.com,TRUE
trung3004@gmail.com,TRUE
trung3005@gmail.com,TRUE
trung3006@gmail.com,TRUE
trung3007@gmail.com,TRUE
trung3008@gmail.com,TRUE
trung3009@gmail.com,TRUE
trung3010@gmail.com,TRUE
trung3011@gmail.com,TRUE
trung3012@gmail.com,TRUE
trung3013@gmail.com,TRUE
trung3014@gmail.com,TRUE
trung3015@gmail.com,TRUE
trung3016@gmail.com,TRUE
trung3017@gmail.com,TRUE
trung3018@gmail.com,TRUE
trung3019@gmail.com,TRUE
trung3020@gmail.com,TRUE
trung3021@gmail.com,TRUE
trung3022@gmail.com,TRUE
trung3023@gmail.com,TRUE
trung3024@gmail.com,TRUE
trung3025@gmail.com,TRUE
trung3026@gmail.com,TRUE
trung3027@gmail.com,TRUE
trung3028@gmail.com,TRUE
trung3029@gmail.com,TRUE
trung3030@gmail.com,TRUE
trung3031@gmail.com,TRUE
trung3032@gmail.com,TRUE
trung3033@gmail.com,TRUE
trung3034@gmail.com,TRUE
trung3035@gmail.com,TRUE
trung3036@gmail.com,TRUE
trung3037@gmail.com,TRUE
trung3038@gmail.com,TRUE
trung3039@gmail.com,TRUE
trung3040@gmail.com,TRUE
trung3041@gmail.com,TRUE
trung3042@gmail.com,TRUE
trung3043@gmail.com,TRUE
trung3044@gmail.com,TRUE
trung3045@gmail.com,TRUE
trung3046@gmail.com,TRUE
trung3047@gmail.com,TRUE
trung3048@gmail.com,TRUE
trung3049@gmail.com,TRUE
trung3050@gmail.com,TRUE
trung3051@gmail.com,TRUE
trung3052@gmail.com,TRUE
trung3053@gmail.com,TRUE
trung3054@gmail.com,TRUE
trung3055@gmail.com,TRUE
trung3056@gmail.com,TRUE
trung3057@gmail.com,TRUE
trung3058@gmail.com,TRUE
trung3059@gmail.com,TRUE
trung3060@gmail.com,TRUE
trung3061@gmail.com,TRUE
trung3062@gmail.com,TRUE
trung3063@gmail.com,TRUE
trung3064@gmail.com,TRUE
trung3065@gmail.com,TRUE
trung3066@gmail.com,TRUE
trung3067@gmail.com,TRUE
trung3068@gmail.com,TRUE
trung3069@gmail.com,TRUE
trung3070@gmail.com,TRUE
trung3071@gmail.com,TRUE
trung3072@gmail.com,TRUE
trung3073@gmail.com,TRUE
trung3074@gmail.com,TRUE
trung3075@gmail.com,TRUE
trung3076@gmail.com,TRUE
trung3077@gmail.com,TRUE
trung3078@gmail.com,TRUE
trung3079@gmail.com,TRUE
trung3080@gmail.com,TRUE
trung3081@gmail.com,TRUE
trung3082@gmail.com,TRUE
trung3083@gmail.com,TRUE
trung3084@gmail.com,TRUE
trung3085@gmail.com,TRUE
trung3086@gmail.com,TRUE
trung3087@gmail.com,TRUE
trung3088@gmail.com,TRUE
trung3089@gmail.com,TRUE
trung3090@gmail.com,TRUE
trung3091@gmail.com,TRUE
trung3092@gmail.com,TRUE
trung3093@gmail.com,TRUE
trung3094@gmail.com,TRUE
trung3095@gmail.com,TRUE
trung3096@gmail.com,TRUE
trung3097@gmail.com,TRUE
trung3098@gmail.com,TRUE
trung3099@gmail.com,TRUE
trung3100@gmail.com,TRUE
